Results of experiments stored in: ./experiments/CartPole-v1_16

Episode: 1 (22346), exploration: 0.99975, score: 22.0
Scores: (min: 22.0, avg: 22.0, max: 22.0)

Episode: 2 (22347), exploration: 0.9972534349231639, score: 40.0
Scores: (min: 22.0, avg: 31.0, max: 40.0)

Episode: 3 (22348), exploration: 0.9965056818164085, score: 11.0
Scores: (min: 11.0, avg: 24.333333333333332, max: 40.0)

Episode: 4 (22349), exploration: 0.9957584893842912, score: 12.0
Scores: (min: 11.0, avg: 21.25, max: 40.0)

Episode: 5 (22350), exploration: 0.995011857206411, score: 13.0
Scores: (min: 11.0, avg: 19.6, max: 40.0)

Episode: 6 (22351), exploration: 0.9937687141118627, score: 20.0
Scores: (min: 11.0, avg: 19.666666666666668, max: 40.0)

Episode: 7 (22352), exploration: 0.9930235738923852, score: 12.0
Scores: (min: 11.0, avg: 18.571428571428573, max: 40.0)

Episode: 8 (22353), exploration: 0.9910392636672307, score: 32.0
Scores: (min: 11.0, avg: 20.25, max: 40.0)

Episode: 9 (22354), exploration: 0.9890589185917195, score: 30.0
Scores: (min: 11.0, avg: 21.333333333333332, max: 40.0)

Episode: 10 (22355), exploration: 0.988317309835869, score: 13.0
Scores: (min: 11.0, avg: 20.5, max: 40.0)

Episode: 11 (22356), exploration: 0.9868357601098019, score: 23.0
Scores: (min: 11.0, avg: 20.727272727272727, max: 40.0)

Episode: 12 (22357), exploration: 0.9860958183060053, score: 13.0
Scores: (min: 11.0, avg: 20.083333333333332, max: 40.0)

Episode: 13 (22358), exploration: 0.9848638146889512, score: 19.0
Scores: (min: 11.0, avg: 20.0, max: 40.0)

Episode: 14 (22359), exploration: 0.9838793201366427, score: 18.0
Scores: (min: 11.0, avg: 19.857142857142858, max: 40.0)

Episode: 15 (22360), exploration: 0.9824044232358959, score: 23.0
Scores: (min: 11.0, avg: 20.066666666666666, max: 40.0)

Episode: 16 (22361), exploration: 0.9814223871529224, score: 15.0
Scores: (min: 11.0, avg: 19.75, max: 40.0)

Episode: 17 (22362), exploration: 0.9789715895961421, score: 42.0
Scores: (min: 11.0, avg: 21.058823529411764, max: 42.0)

Episode: 18 (22363), exploration: 0.977259673679319, score: 29.0
Scores: (min: 11.0, avg: 21.5, max: 42.0)

Episode: 19 (22364), exploration: 0.9762827804169426, score: 16.0
Scores: (min: 11.0, avg: 21.210526315789473, max: 42.0)

Episode: 20 (22365), exploration: 0.9750630369656341, score: 19.0
Scores: (min: 11.0, avg: 21.1, max: 42.0)

Episode: 21 (22366), exploration: 0.9740883395163699, score: 15.0
Scores: (min: 11.0, avg: 20.80952380952381, max: 42.0)

Episode: 22 (22367), exploration: 0.9733579558880762, score: 11.0
Scores: (min: 11.0, avg: 20.363636363636363, max: 42.0)

Episode: 23 (22368), exploration: 0.9714129425013007, score: 35.0
Scores: (min: 11.0, avg: 21.0, max: 42.0)

Episode: 24 (22369), exploration: 0.970199283304499, score: 20.0
Scores: (min: 11.0, avg: 20.958333333333332, max: 42.0)

Episode: 25 (22370), exploration: 0.968987140423346, score: 18.0
Scores: (min: 11.0, avg: 20.84, max: 42.0)

Episode: 26 (22371), exploration: 0.9672926841934447, score: 29.0
Scores: (min: 11.0, avg: 21.153846153846153, max: 42.0)

Episode: 27 (22372), exploration: 0.9658426517018238, score: 23.0
Scores: (min: 11.0, avg: 21.22222222222222, max: 42.0)

Episode: 28 (22373), exploration: 0.9634307596948646, score: 40.0
Scores: (min: 11.0, avg: 21.892857142857142, max: 42.0)

Episode: 29 (22374), exploration: 0.9622270732389537, score: 22.0
Scores: (min: 11.0, avg: 21.896551724137932, max: 42.0)

Episode: 30 (22375), exploration: 0.9615055833365661, score: 12.0
Scores: (min: 11.0, avg: 21.566666666666666, max: 42.0)

Episode: 31 (22376), exploration: 0.9603043021481686, score: 20.0
Scores: (min: 11.0, avg: 21.516129032258064, max: 42.0)

Episode: 32 (22377), exploration: 0.9591045218106437, score: 19.0
Scores: (min: 11.0, avg: 21.4375, max: 42.0)

Episode: 33 (22378), exploration: 0.9574273471977809, score: 27.0
Scores: (min: 11.0, avg: 21.606060606060606, max: 42.0)

Episode: 34 (22379), exploration: 0.9562311612562965, score: 20.0
Scores: (min: 11.0, avg: 21.558823529411764, max: 42.0)

Episode: 35 (22380), exploration: 0.954559011254689, score: 28.0
Scores: (min: 11.0, avg: 21.742857142857144, max: 42.0)

Episode: 36 (22381), exploration: 0.9538432709611476, score: 14.0
Scores: (min: 11.0, avg: 21.52777777777778, max: 42.0)

Episode: 37 (22382), exploration: 0.9528897853218017, score: 16.0
Scores: (min: 11.0, avg: 21.37837837837838, max: 42.0)

Episode: 38 (22383), exploration: 0.9505102390751314, score: 39.0
Scores: (min: 11.0, avg: 21.842105263157894, max: 42.0)

Episode: 39 (22384), exploration: 0.9497975346016433, score: 10.0
Scores: (min: 10.0, avg: 21.53846153846154, max: 42.0)

Episode: 40 (22385), exploration: 0.9490853645228893, score: 12.0
Scores: (min: 10.0, avg: 21.3, max: 42.0)

Episode: 41 (22386), exploration: 0.9464786398057544, score: 47.0
Scores: (min: 10.0, avg: 21.926829268292682, max: 47.0)

Episode: 42 (22387), exploration: 0.9457689582758565, score: 11.0
Scores: (min: 10.0, avg: 21.666666666666668, max: 47.0)

Episode: 43 (22388), exploration: 0.9448235439218331, score: 15.0
Scores: (min: 10.0, avg: 21.511627906976745, max: 47.0)

Episode: 44 (22389), exploration: 0.9438790746276927, score: 17.0
Scores: (min: 10.0, avg: 21.40909090909091, max: 47.0)

Episode: 45 (22390), exploration: 0.9431713422843003, score: 13.0
Scores: (min: 10.0, avg: 21.22222222222222, max: 47.0)

Episode: 46 (22391), exploration: 0.9424641406074767, score: 11.0
Scores: (min: 10.0, avg: 21.0, max: 47.0)

Episode: 47 (22392), exploration: 0.9415220298320217, score: 14.0
Scores: (min: 10.0, avg: 20.851063829787233, max: 47.0)

Episode: 48 (22393), exploration: 0.9398756015127139, score: 30.0
Scores: (min: 10.0, avg: 21.041666666666668, max: 47.0)

Episode: 49 (22394), exploration: 0.9375285541475656, score: 39.0
Scores: (min: 10.0, avg: 21.408163265306122, max: 47.0)

Episode: 50 (22395), exploration: 0.9365913771080342, score: 15.0
Scores: (min: 10.0, avg: 21.28, max: 47.0)

Episode: 51 (22396), exploration: 0.9354212231099358, score: 23.0
Scores: (min: 10.0, avg: 21.313725490196077, max: 47.0)

Episode: 52 (22397), exploration: 0.9342525310731716, score: 19.0
Scores: (min: 10.0, avg: 21.26923076923077, max: 47.0)

Episode: 53 (22398), exploration: 0.9335520168326188, score: 12.0
Scores: (min: 10.0, avg: 21.09433962264151, max: 47.0)

Episode: 54 (22399), exploration: 0.9326188148394492, score: 16.0
Scores: (min: 10.0, avg: 21.0, max: 47.0)

Episode: 55 (22400), exploration: 0.9309879554657764, score: 29.0
Scores: (min: 10.0, avg: 21.145454545454545, max: 47.0)

Episode: 56 (22401), exploration: 0.9293599479563962, score: 25.0
Scores: (min: 10.0, avg: 21.214285714285715, max: 47.0)

Episode: 57 (22402), exploration: 0.9254180578713245, score: 70.0
Scores: (min: 10.0, avg: 22.07017543859649, max: 70.0)

Episode: 58 (22403), exploration: 0.9233379482175887, score: 34.0
Scores: (min: 10.0, avg: 22.275862068965516, max: 70.0)

Episode: 59 (22404), exploration: 0.9217233181844409, score: 30.0
Scores: (min: 10.0, avg: 22.406779661016948, max: 70.0)

Episode: 60 (22405), exploration: 0.9198814837576231, score: 30.0
