Results of experiments stored in: ./experiments/CartPole-v1_9

Episode: 11348, exploration: 0.99999, score: 18.0
Scores: (min: 18.0, avg: 18.0, max: 18.0)

Episode: 11349, exploration: 0.9999600005999962, score: 18.0
Scores: (min: 18.0, avg: 18.0, max: 18.0)

Episode: 11350, exploration: 0.9999300020999654, score: 12.0
Scores: (min: 12.0, avg: 16.0, max: 18.0)

Episode: 11351, exploration: 0.9998700077997147, score: 29.0
Scores: (min: 12.0, avg: 19.25, max: 29.0)

Episode: 11352, exploration: 0.9998500104995457, score: 14.0
Scores: (min: 12.0, avg: 18.2, max: 29.0)

Episode: 11353, exploration: 0.999790020998671, score: 29.0
Scores: (min: 12.0, avg: 20.0, max: 29.0)

Episode: 11354, exploration: 0.9997600275979772, score: 14.0
Scores: (min: 12.0, avg: 19.142857142857142, max: 29.0)

Episode: 11355, exploration: 0.9997300350970764, score: 14.0
Scores: (min: 12.0, avg: 18.5, max: 29.0)

Episode: 11356, exploration: 0.9996900464955066, score: 21.0
Scores: (min: 12.0, avg: 18.77777777777778, max: 29.0)

Episode: 11357, exploration: 0.9996300665922322, score: 32.0
Scores: (min: 12.0, avg: 20.1, max: 32.0)

Episode: 11358, exploration: 0.9995800860885229, score: 22.0
Scores: (min: 12.0, avg: 20.272727272727273, max: 32.0)

Episode: 11359, exploration: 0.9995500989858134, score: 17.0
Scores: (min: 12.0, avg: 20.0, max: 32.0)

Episode: 11360, exploration: 0.9995201127827079, score: 14.0
Scores: (min: 12.0, avg: 19.53846153846154, max: 32.0)

Episode: 11361, exploration: 0.9994701377765792, score: 27.0
Scores: (min: 12.0, avg: 20.071428571428573, max: 32.0)

Episode: 11362, exploration: 0.9993701952602978, score: 48.0
Scores: (min: 12.0, avg: 21.933333333333334, max: 48.0)

Episode: 11363, exploration: 0.9992902484428579, score: 39.0
Scores: (min: 12.0, avg: 23.0, max: 48.0)

Episode: 11364, exploration: 0.9992502774324905, score: 23.0
Scores: (min: 12.0, avg: 23.0, max: 48.0)

Episode: 11365, exploration: 0.9992103080209396, score: 19.0
Scores: (min: 12.0, avg: 22.77777777777778, max: 48.0)

Episode: 11366, exploration: 0.9991703402081411, score: 20.0
Scores: (min: 12.0, avg: 22.63157894736842, max: 48.0)

Episode: 11367, exploration: 0.9991403653976851, score: 14.0
Scores: (min: 12.0, avg: 22.2, max: 48.0)

Episode: 11368, exploration: 0.9990904093785458, score: 25.0
Scores: (min: 12.0, avg: 22.333333333333332, max: 48.0)

Episode: 11369, exploration: 0.9990604369659907, score: 16.0
Scores: (min: 12.0, avg: 22.045454545454547, max: 48.0)

Episode: 11370, exploration: 0.9989705251231978, score: 42.0
Scores: (min: 12.0, avg: 22.91304347826087, max: 48.0)

Episode: 11371, exploration: 0.9989305669015713, score: 22.0
Scores: (min: 12.0, avg: 22.875, max: 48.0)

Episode: 11372, exploration: 0.9989105883901265, score: 12.0
Scores: (min: 12.0, avg: 22.44, max: 48.0)

Episode: 11373, exploration: 0.9988706325659333, score: 17.0
Scores: (min: 12.0, avg: 22.23076923076923, max: 48.0)

Episode: 11374, exploration: 0.9988406667466166, score: 15.0
Scores: (min: 12.0, avg: 21.962962962962962, max: 48.0)

Episode: 11375, exploration: 0.9988107018262656, score: 16.0
Scores: (min: 12.0, avg: 21.75, max: 48.0)

Episode: 11376, exploration: 0.9987108252506118, score: 50.0
Scores: (min: 12.0, avg: 22.724137931034484, max: 50.0)

Episode: 11377, exploration: 0.9986608907080503, score: 25.0
Scores: (min: 12.0, avg: 22.8, max: 50.0)

Episode: 11378, exploration: 0.9986009725525794, score: 31.0
Scores: (min: 12.0, avg: 23.06451612903226, max: 50.0)

Episode: 11379, exploration: 0.998551043502543, score: 25.0
Scores: (min: 12.0, avg: 23.125, max: 50.0)

Episode: 11380, exploration: 0.9984911319377396, score: 28.0
Scores: (min: 12.0, avg: 23.272727272727273, max: 50.0)

Episode: 11381, exploration: 0.9984611775033281, score: 18.0
Scores: (min: 12.0, avg: 23.11764705882353, max: 50.0)

Episode: 11382, exploration: 0.9984212396553007, score: 19.0
Scores: (min: 12.0, avg: 23.0, max: 50.0)

Episode: 11383, exploration: 0.9983912873176366, score: 16.0
Scores: (min: 12.0, avg: 22.805555555555557, max: 50.0)

Episode: 11384, exploration: 0.9983214020241115, score: 34.0
Scores: (min: 12.0, avg: 23.10810810810811, max: 50.0)

Episode: 11385, exploration: 0.9982914526815462, score: 15.0
Scores: (min: 12.0, avg: 22.894736842105264, max: 50.0)

Episode: 11386, exploration: 0.9982615042374522, score: 15.0
Scores: (min: 12.0, avg: 22.692307692307693, max: 50.0)

Episode: 11387, exploration: 0.9982215743762356, score: 20.0
Scores: (min: 12.0, avg: 22.625, max: 50.0)

Episode: 11388, exploration: 0.9981916280284701, score: 16.0
Scores: (min: 12.0, avg: 22.463414634146343, max: 50.0)

Episode: 11389, exploration: 0.9981616825790859, score: 15.0
Scores: (min: 12.0, avg: 22.285714285714285, max: 50.0)

Episode: 11390, exploration: 0.9981317380280561, score: 11.0
Scores: (min: 11.0, avg: 22.023255813953487, max: 50.0)

Episode: 11391, exploration: 0.9980818324392767, score: 25.0
Scores: (min: 11.0, avg: 22.09090909090909, max: 50.0)

Episode: 11392, exploration: 0.9980419097648244, score: 22.0
Scores: (min: 11.0, avg: 22.08888888888889, max: 50.0)

Episode: 11393, exploration: 0.9979820287472817, score: 31.0
Scores: (min: 11.0, avg: 22.282608695652176, max: 50.0)

Episode: 11394, exploration: 0.9979421100649173, score: 20.0
Scores: (min: 11.0, avg: 22.23404255319149, max: 50.0)

Episode: 11395, exploration: 0.9979121721009971, score: 15.0
Scores: (min: 11.0, avg: 22.083333333333332, max: 50.0)

Episode: 11396, exploration: 0.9978622774902945, score: 26.0
Scores: (min: 11.0, avg: 22.163265306122447, max: 50.0)

Episode: 11397, exploration: 0.9978123853742725, score: 21.0
Scores: (min: 11.0, avg: 22.14, max: 50.0)

Episode: 11398, exploration: 0.9977824513020541, score: 17.0
Scores: (min: 11.0, avg: 22.03921568627451, max: 50.0)

Episode: 11399, exploration: 0.9977425406026676, score: 19.0
Scores: (min: 11.0, avg: 21.98076923076923, max: 50.0)

Episode: 11400, exploration: 0.99772258585163, score: 9.0
Scores: (min: 9.0, avg: 21.735849056603772, max: 50.0)

Episode: 11401, exploration: 0.9976727007200502, score: 27.0
Scores: (min: 9.0, avg: 21.833333333333332, max: 50.0)

Episode: 11402, exploration: 0.9976527473658031, score: 9.0
Scores: (min: 9.0, avg: 21.6, max: 50.0)

Episode: 11403, exploration: 0.9976028657260778, score: 24.0
Scores: (min: 9.0, avg: 21.642857142857142, max: 50.0)

Episode: 11404, exploration: 0.9975829137685236, score: 12.0
Scores: (min: 9.0, avg: 21.473684210526315, max: 50.0)

Episode: 11405, exploration: 0.9975629622100066, score: 12.0
Scores: (min: 9.0, avg: 21.310344827586206, max: 50.0)

Episode: 11406, exploration: 0.9975330356204083, score: 13.0
Scores: (min: 9.0, avg: 21.16949152542373, max: 50.0)

Episode: 11407, exploration: 0.9974931348974995, score: 20.0
Scores: (min: 9.0, avg: 21.15, max: 50.0)

Episode: 11408, exploration: 0.9973734423045478, score: 60.0
Scores: (min: 9.0, avg: 21.78688524590164, max: 60.0)

Episode: 11409, exploration: 0.9973534949354391, score: 12.0
Scores: (min: 9.0, avg: 21.629032258064516, max: 60.0)

Episode: 11410, exploration: 0.9973235746297963, score: 13.0
Scores: (min: 9.0, avg: 21.49206349206349, max: 60.0)

Episode: 11411, exploration: 0.9972836822852014, score: 20.0
Model Saved
Scores: (min: 9.0, avg: 21.46875, max: 60.0)

Episode: 11412, exploration: 0.9972138745217026, score: 33.0
Scores: (min: 9.0, avg: 21.646153846153847, max: 60.0)

Episode: 11413, exploration: 0.9971839584046303, score: 18.0
Scores: (min: 9.0, avg: 21.59090909090909, max: 60.0)

Episode: 11414, exploration: 0.9971540431850325, score: 16.0
Scores: (min: 9.0, avg: 21.507462686567163, max: 60.0)

Episode: 11415, exploration: 0.9971141576215938, score: 16.0
Scores: (min: 9.0, avg: 21.426470588235293, max: 60.0)

Episode: 11416, exploration: 0.9970643029108172, score: 29.0
Scores: (min: 9.0, avg: 21.536231884057973, max: 60.0)

Episode: 11417, exploration: 0.9970144506927261, score: 21.0
Scores: (min: 9.0, avg: 21.52857142857143, max: 60.0)

Episode: 11418, exploration: 0.9969945105034138, score: 11.0
Scores: (min: 9.0, avg: 21.380281690140844, max: 60.0)

Episode: 11419, exploration: 0.9969646009671962, score: 15.0
Scores: (min: 9.0, avg: 21.291666666666668, max: 60.0)

Episode: 11420, exploration: 0.9969047845865655, score: 29.0
Scores: (min: 9.0, avg: 21.397260273972602, max: 60.0)

Episode: 11421, exploration: 0.9968748777420986, score: 16.0
Scores: (min: 9.0, avg: 21.324324324324323, max: 60.0)

Episode: 11422, exploration: 0.996755259335925, score: 61.0
Scores: (min: 9.0, avg: 21.85333333333333, max: 61.0)

Episode: 11423, exploration: 0.9967054225697037, score: 27.0
Scores: (min: 9.0, avg: 21.92105263157895, max: 61.0)

Episode: 11424, exploration: 0.9966755217060375, score: 15.0
Scores: (min: 9.0, avg: 21.83116883116883, max: 61.0)

Episode: 11425, exploration: 0.9966356552831708, score: 18.0
